onnx_latency,fallback_latency,output_dir,slowest_device,all,input_shape,output_shape,error,device,file_name,file_path,pruning,time_cost,params,IR,MACs,
1.347,inf,./f47466c8-27c6-43,R38M20BDTME,"{'R38M20BDTME': {'latency': 1.347, 'faster': 'onnx', 'slower': 'fallback', 'slower-latency': inf}}","{'input': [1, 1, 9, 9]}","{'output': [1, 1, 9, 9]}",,R38M20BDTME,quant_drf_w2.onnx,../dnnModels/quant_drf_w2.onnx,1,4.626759052,276611,57281,15633,4639680
1.277,2.258,./fe2f8bef-d5cd-4a,R38M20BDTME,"{'R38M20BDTME': {'latency': 1.277, 'faster': 'onnx', 'slower': 'fallback', 'slower-latency': 2.258}}","{'input': [1, 1, 9, 9]}","{'output': [1, 1, 9, 9]}",,R38M20BDTME,quant_drf_w2.onnx,../dnnModels/quant_drf_w2.onnx,0,18.8165,95792770386,57281,15633,4639680
1.333,inf,./75256dc6-412a-43,RF8M21Y9MNR,"{'RF8M21Y9MNR': {'latency': 1.333, 'faster': 'onnx', 'slower': 'fallback', 'slower-latency': inf}}","{'input': [1, 1, 9, 9]}","{'output': [1, 1, 9, 9]}",,RF8M21Y9MNR,quant_drf_w2.onnx,../dnnModels/quant_drf_w2.onnx,1,4.3825531,5859375,57281,15633,4639680
1.278,2.305,./7aee754c-2987-4b,RF8M21Y9MNR,"{'RF8M21Y9MNR': {'latency': 1.278, 'faster': 'onnx', 'slower': 'fallback', 'slower-latency': 2.305}}","{'input': [1, 1, 9, 9]}","{'output': [1, 1, 9, 9]}",,RF8M21Y9MNR,quant_drf_w2.onnx,../dnnModels/quant_drf_w2.onnx,0,18.2265,23876190186,57281,15633,4639680
1.496,inf,./b62e0ef7-674a-49,R38M20BDTME,"{'R38M20BDTME': {'latency': 1.496, 'faster': 'onnx', 'slower': 'fallback', 'slower-latency': inf}}","{'input': [1, 1, 9, 9]}","{'output': [1, 1, 9, 9]}",,R38M20BDTME,quant_lsq_w2.onnx,../dnnModels/quant_lsq_w2.onnx,1,4.895817756,652832,21147,15633,1717686
1.373,2.311,./2071b71d-7482-4d,R38M20BDTME,"{'R38M20BDTME': {'latency': 1.373, 'faster': 'onnx', 'slower': 'fallback', 'slower-latency': 2.311}}","{'input': [1, 1, 9, 9]}","{'output': [1, 1, 9, 9]}",,R38M20BDTME,quant_lsq_w2.onnx,../dnnModels/quant_lsq_w2.onnx,0,16.4723,14834594727,57281,15633,4639680
1.529,inf,./69a6b921-4506-4e,RF8M21Y9MNR,"{'RF8M21Y9MNR': {'latency': 1.529, 'faster': 'onnx', 'slower': 'fallback', 'slower-latency': inf}}","{'input': [1, 1, 9, 9]}","{'output': [1, 1, 9, 9]}",,RF8M21Y9MNR,quant_lsq_w2.onnx,../dnnModels/quant_lsq_w2.onnx,1,5.07139635,860596,21147,15633,1717686
1.322,2.353,./1069a09e-76ab-40,RF8M21Y9MNR,"{'RF8M21Y9MNR': {'latency': 1.322, 'faster': 'onnx', 'slower': 'fallback', 'slower-latency': 2.353}}","{'input': [1, 1, 9, 9]}","{'output': [1, 1, 9, 9]}",,RF8M21Y9MNR,quant_lsq_w2.onnx,../dnnModels/quant_lsq_w2.onnx,0,15.9622,39503860474,57281,15633,4639680
1.366,inf,./1800a57b-7d6b-4a,R38M20BDTME,"{'R38M20BDTME': {'latency': 1.366, 'faster': 'onnx', 'slower': 'fallback', 'slower-latency': inf}}","{'input': [1, 1, 9, 9]}","{'output': [1, 1, 9, 9]}",,R38M20BDTME,prune_level_s5.onnx,../dnnModels/prune_level_s5.onnx,1,4.70921,8502044678,28628,15471,2322675
1.26,2.328,./fb964ee8-d9b0-49,R38M20BDTME,"{'R38M20BDTME': {'latency': 1.26, 'faster': 'onnx', 'slower': 'fallback', 'slower-latency': 2.328}}","{'input': [1, 1, 9, 9]}","{'output': [1, 1, 9, 9]}",,R38M20BDTME,prune_level_s5.onnx,../dnnModels/prune_level_s5.onnx,0,15.01,5.12623E+11,55655,15471,4507974
1.348,inf,./32936e84-3990-4a,RF8M21Y9MNR,"{'RF8M21Y9MNR': {'latency': 1.348, 'faster': 'onnx', 'slower': 'fallback', 'slower-latency': inf}}","{'input': [1, 1, 9, 9]}","{'output': [1, 1, 9, 9]}",,RF8M21Y9MNR,prune_level_s5.onnx,../dnnModels/prune_level_s5.onnx,1,4.85555,362701416,28628,15471,2322675
1.297,2.072,./a8a7602c-7ad3-4f,RF8M21Y9MNR,"{'RF8M21Y9MNR': {'latency': 1.297, 'faster': 'onnx', 'slower': 'fallback', 'slower-latency': 2.072}}","{'input': [1, 1, 9, 9]}","{'output': [1, 1, 9, 9]}",,RF8M21Y9MNR,prune_level_s5.onnx,../dnnModels/prune_level_s5.onnx,0,14,8.32203E+14,55655,15471,4507974
1.184,inf,./02a79901-6d21-4e,R38M20BDTME,"{'R38M20BDTME': {'latency': 1.184, 'faster': 'onnx', 'slower': 'fallback', 'slower-latency': inf}}","{'input': [1, 1, 9, 9]}","{'output': [1, 1, 9, 9]}",,R38M20BDTME,prune_fpgm_s7.onnx,../dnnModels/prune_fpgm_s7.onnx,1,4.5153481,96029663,6901,4941,558900
1.128,2.194,./1d5964da-7cea-43,R38M20BDTME,"{'R38M20BDTME': {'latency': 1.128, 'faster': 'onnx', 'slower': 'fallback', 'slower-latency': 2.194}}","{'input': [1, 1, 9, 9]}","{'output': [1, 1, 9, 9]}",,R38M20BDTME,prune_fpgm_s7.onnx,../dnnModels/prune_fpgm_s7.onnx,0,15.23,6.5567E+11,6901,4941,558900
1.174,inf,./137c75f0-c3ad-47,RF8M21Y9MNR,"{'RF8M21Y9MNR': {'latency': 1.174, 'faster': 'onnx', 'slower': 'fallback', 'slower-latency': inf}}","{'input': [1, 1, 9, 9]}","{'output': [1, 1, 9, 9]}",,RF8M21Y9MNR,prune_fpgm_s7.onnx,../dnnModels/prune_fpgm_s7.onnx,1,4.5031535,62545776,6901,4941,558900
1.169,2.301,./16736431-9625-44,RF8M21Y9MNR,"{'RF8M21Y9MNR': {'latency': 1.169, 'faster': 'onnx', 'slower': 'fallback', 'slower-latency': 2.301}}","{'input': [1, 1, 9, 9]}","{'output': [1, 1, 9, 9]}",,RF8M21Y9MNR,prune_fpgm_s7.onnx,../dnnModels/prune_fpgm_s7.onnx,0,14.96,9.83038E+11,6901,4941,558900
1.385,inf,./e6c7da35-215c-4e,R38M20BDTME,"{'R38M20BDTME': {'latency': 1.385, 'faster': 'onnx', 'slower': 'fallback', 'slower-latency': inf}}","{'input': [1, 1, 9, 9]}","{'output': [1, 1, 9, 9]}",,R38M20BDTME,prune_l1_s7.onnx,../dnnModels/prune_l1_s7.onnx,1,4.57349968,543,6901,4941,558900
1.167,2.361,./6df1c491-44f1-4c,R38M20BDTME,"{'R38M20BDTME': {'latency': 1.167, 'faster': 'onnx', 'slower': 'fallback', 'slower-latency': 2.361}}","{'input': [1, 1, 9, 9]}","{'output': [1, 1, 9, 9]}",,R38M20BDTME,prune_l1_s7.onnx,../dnnModels/prune_l1_s7.onnx,0,14.829099,655151367,6901,4941,558900
1.18,inf,./4b428426-8f3a-4f,RF8M21Y9MNR,"{'RF8M21Y9MNR': {'latency': 1.18, 'faster': 'onnx', 'slower': 'fallback', 'slower-latency': inf}}","{'input': [1, 1, 9, 9]}","{'output': [1, 1, 9, 9]}",,RF8M21Y9MNR,prune_l1_s7.onnx,../dnnModels/prune_l1_s7.onnx,1,4.509773731,895,6901,4941,558900
1.149,2.333,./36b8480d-d67d-4a,RF8M21Y9MNR,"{'RF8M21Y9MNR': {'latency': 1.149, 'faster': 'onnx', 'slower': 'fallback', 'slower-latency': 2.333}}","{'input': [1, 1, 9, 9]}","{'output': [1, 1, 9, 9]}",,RF8M21Y9MNR,prune_l1_s7.onnx,../dnnModels/prune_l1_s7.onnx,0,14.976269,721984863,6901,4941,558900
1.374,inf,./09e7b4be-a535-40,R38M20BDTME,"{'R38M20BDTME': {'latency': 1.374, 'faster': 'onnx', 'slower': 'fallback', 'slower-latency': inf}}","{'input': [1, 1, 9, 9]}","{'output': [1, 1, 9, 9]}",,R38M20BDTME,prune_fpgm_s1.onnx,../dnnModels/prune_fpgm_s1.onnx,1,4.6270575,523376465,47561,14175,3852360
1.303,2.102,./8116b42b-cd8e-4e,R38M20BDTME,"{'R38M20BDTME': {'latency': 1.303, 'faster': 'onnx', 'slower': 'fallback', 'slower-latency': 2.102}}","{'input': [1, 1, 9, 9]}","{'output': [1, 1, 9, 9]}",,R38M20BDTME,prune_fpgm_s1.onnx,../dnnModels/prune_fpgm_s1.onnx,0,14.34,2.79966E+12,47561,14175,3852360
1.33,inf,./690fb3db-239f-4a,RF8M21Y9MNR,"{'RF8M21Y9MNR': {'latency': 1.33, 'faster': 'onnx', 'slower': 'fallback', 'slower-latency': inf}}","{'input': [1, 1, 9, 9]}","{'output': [1, 1, 9, 9]}",,RF8M21Y9MNR,prune_fpgm_s1.onnx,../dnnModels/prune_fpgm_s1.onnx,1,4.464633703,2318115,47561,14175,3852360
1.369,2.391,./e7c6f9a2-809d-40,RF8M21Y9MNR,"{'RF8M21Y9MNR': {'latency': 1.369, 'faster': 'onnx', 'slower': 'fallback', 'slower-latency': 2.391}}","{'input': [1, 1, 9, 9]}","{'output': [1, 1, 9, 9]}",,RF8M21Y9MNR,prune_fpgm_s1.onnx,../dnnModels/prune_fpgm_s1.onnx,0,14.96,5.92736E+12,47561,14175,3852360
1.425,inf,./3b7a0442-653f-49,R38M20BDTME,"{'R38M20BDTME': {'latency': 1.425, 'faster': 'onnx', 'slower': 'fallback', 'slower-latency': inf}}","{'input': [1, 1, 9, 9]}","{'output': [1, 1, 9, 9]}",,R38M20BDTME,prune_l1_s3.onnx,../dnnModels/prune_l1_s3.onnx,1,4.510971546,3096,30164,11097,2443203
1.229,2.359,./093d8eb4-4fed-44,R38M20BDTME,"{'R38M20BDTME': {'latency': 1.229, 'faster': 'onnx', 'slower': 'fallback', 'slower-latency': 2.359}}","{'input': [1, 1, 9, 9]}","{'output': [1, 1, 9, 9]}",,R38M20BDTME,prune_l1_s3.onnx,../dnnModels/prune_l1_s3.onnx,0,14.666318,655014038,30164,11097,2443203
1.362,inf,./58aaaebf-1974-4d,RF8M21Y9MNR,"{'RF8M21Y9MNR': {'latency': 1.362, 'faster': 'onnx', 'slower': 'fallback', 'slower-latency': inf}}","{'input': [1, 1, 9, 9]}","{'output': [1, 1, 9, 9]}",,RF8M21Y9MNR,prune_l1_s3.onnx,../dnnModels/prune_l1_s3.onnx,1,4.536679983,9038,30164,11097,2443203
1.397,2.231,./10b327f9-7467-4c,RF8M21Y9MNR,"{'RF8M21Y9MNR': {'latency': 1.397, 'faster': 'onnx', 'slower': 'fallback', 'slower-latency': 2.231}}","{'input': [1, 1, 9, 9]}","{'output': [1, 1, 9, 9]}",,RF8M21Y9MNR,prune_l1_s3.onnx,../dnnModels/prune_l1_s3.onnx,0,14.982846,736907959,30164,11097,2443203
1.431,inf,./608cff14-d567-46,R38M20BDTME,"{'R38M20BDTME': {'latency': 1.431, 'faster': 'onnx', 'slower': 'fallback', 'slower-latency': inf}}","{'input': [1, 1, 9, 9]}","{'output': [1, 1, 9, 9]}",,R38M20BDTME,prune_level_s3.onnx,../dnnModels/prune_level_s3.onnx,1,4.78313,6367797852,40096,15633,3250125
1.289,2.492,./37d21357-0dea-49,R38M20BDTME,"{'R38M20BDTME': {'latency': 1.289, 'faster': 'onnx', 'slower': 'fallback', 'slower-latency': 2.492}}","{'input': [1, 1, 9, 9]}","{'output': [1, 1, 9, 9]}",,R38M20BDTME,prune_level_s3.onnx,../dnnModels/prune_level_s3.onnx,0,15,8.43995E+13,57281,15633,4639680
1.375,inf,./28044db7-2547-4e,RF8M21Y9MNR,"{'RF8M21Y9MNR': {'latency': 1.375, 'faster': 'onnx', 'slower': 'fallback', 'slower-latency': inf}}","{'input': [1, 1, 9, 9]}","{'output': [1, 1, 9, 9]}",,RF8M21Y9MNR,prune_level_s3.onnx,../dnnModels/prune_level_s3.onnx,1,4.82061,3622665405,40096,15633,3250125
1.276,2.123,./ab249453-4a20-4c,RF8M21Y9MNR,"{'RF8M21Y9MNR': {'latency': 1.276, 'faster': 'onnx', 'slower': 'fallback', 'slower-latency': 2.123}}","{'input': [1, 1, 9, 9]}","{'output': [1, 1, 9, 9]}",,RF8M21Y9MNR,prune_level_s3.onnx,../dnnModels/prune_level_s3.onnx,0,14,7.07266E+14,57281,15633,4639680
1.277,inf,./f239387f-2240-42,R38M20BDTME,"{'R38M20BDTME': {'latency': 1.277, 'faster': 'onnx', 'slower': 'fallback', 'slower-latency': inf}}","{'input': [1, 1, 9, 9]}","{'output': [1, 1, 9, 9]}",,R38M20BDTME,prune_fpgm_s3.onnx,../dnnModels/prune_fpgm_s3.onnx,1,4.4342858,79135132,30164,11097,2443203
1.219,1.859,./a5bc7b06-2496-44,R38M20BDTME,"{'R38M20BDTME': {'latency': 1.219, 'faster': 'onnx', 'slower': 'fallback', 'slower-latency': 1.859}}","{'input': [1, 1, 9, 9]}","{'output': [1, 1, 9, 9]}",,R38M20BDTME,prune_fpgm_s3.onnx,../dnnModels/prune_fpgm_s3.onnx,0,15.31,4.33821E+12,30164,11097,2443203
1.271,inf,./fd450e3b-232e-47,RF8M21Y9MNR,"{'RF8M21Y9MNR': {'latency': 1.271, 'faster': 'onnx', 'slower': 'fallback', 'slower-latency': inf}}","{'input': [1, 1, 9, 9]}","{'output': [1, 1, 9, 9]}",,RF8M21Y9MNR,prune_fpgm_s3.onnx,../dnnModels/prune_fpgm_s3.onnx,1,4.4924716,94946289,30164,11097,2443203
1.391,2.296,./d8b6c8a5-3786-4e,RF8M21Y9MNR,"{'RF8M21Y9MNR': {'latency': 1.391, 'faster': 'onnx', 'slower': 'fallback', 'slower-latency': 2.296}}","{'input': [1, 1, 9, 9]}","{'output': [1, 1, 9, 9]}",,RF8M21Y9MNR,prune_fpgm_s3.onnx,../dnnModels/prune_fpgm_s3.onnx,0,14.16,3.03396E+12,30164,11097,2443203
1.443,inf,./58b601f1-0802-4d,R38M20BDTME,"{'R38M20BDTME': {'latency': 1.443, 'faster': 'onnx', 'slower': 'fallback', 'slower-latency': inf}}","{'input': [1, 1, 9, 9]}","{'output': [1, 1, 9, 9]}",,R38M20BDTME,prune_level_s1.onnx,../dnnModels/prune_level_s1.onnx,1,4.5695,923156738,51552,15633,4176522
1.253,2.291,./75d51290-48b3-46,R38M20BDTME,"{'R38M20BDTME': {'latency': 1.253, 'faster': 'onnx', 'slower': 'fallback', 'slower-latency': 2.291}}","{'input': [1, 1, 9, 9]}","{'output': [1, 1, 9, 9]}",,R38M20BDTME,prune_level_s1.onnx,../dnnModels/prune_level_s1.onnx,0,14,4.98975E+14,57281,15633,4639680
1.41,inf,./1ff1fa90-d893-43,RF8M21Y9MNR,"{'RF8M21Y9MNR': {'latency': 1.41, 'faster': 'onnx', 'slower': 'fallback', 'slower-latency': inf}}","{'input': [1, 1, 9, 9]}","{'output': [1, 1, 9, 9]}",,RF8M21Y9MNR,prune_level_s1.onnx,../dnnModels/prune_level_s1.onnx,1,4.6699659,82437134,51552,15633,4176522
1.347,1.982,./2b1bfe57-14f3-40,RF8M21Y9MNR,"{'RF8M21Y9MNR': {'latency': 1.347, 'faster': 'onnx', 'slower': 'fallback', 'slower-latency': 1.982}}","{'input': [1, 1, 9, 9]}","{'output': [1, 1, 9, 9]}",,RF8M21Y9MNR,prune_level_s1.onnx,../dnnModels/prune_level_s1.onnx,0,14,7.25123E+14,57281,15633,4639680
1.366,inf,./df37d36c-da73-43,R38M20BDTME,"{'R38M20BDTME': {'latency': 1.366, 'faster': 'onnx', 'slower': 'fallback', 'slower-latency': inf}}","{'input': [1, 1, 9, 9]}","{'output': [1, 1, 9, 9]}",,R38M20BDTME,prune_level_s7.onnx,../dnnModels/prune_level_s7.onnx,1,4.79459,3811035156,17181,15471,1397088
1.367,2.304,./be55b6e3-0470-48,R38M20BDTME,"{'R38M20BDTME': {'latency': 1.367, 'faster': 'onnx', 'slower': 'fallback', 'slower-latency': 2.304}}","{'input': [1, 1, 9, 9]}","{'output': [1, 1, 9, 9]}",,R38M20BDTME,prune_level_s7.onnx,../dnnModels/prune_level_s7.onnx,0,15,7.22132E+13,55655,15471,4507974
1.42,inf,./84982ff6-32d8-44,RF8M21Y9MNR,"{'RF8M21Y9MNR': {'latency': 1.42, 'faster': 'onnx', 'slower': 'fallback', 'slower-latency': inf}}","{'input': [1, 1, 9, 9]}","{'output': [1, 1, 9, 9]}",,RF8M21Y9MNR,prune_level_s7.onnx,../dnnModels/prune_level_s7.onnx,1,4.7614786,62490845,17181,15471,1397088
